id,inTp,inHd,otmsuplyqy,acSlrdQy,cunt,ph,outTp,outWs,daysuplyqy,inCo2,ec,outtrn_mean
9,19.565500000000004,92.11133333400001,0.0,0.0,0.0,0.0,14.8708333313,0.0,0.0,321.64833332000006,0.0,314.0
21,17.562166666000003,77.092333333,0.0,0.0,0.0,0.0,-4.426500000399999,0.8334999999000001,0.0,585.16983333,0.0,330.9
27,33.245499998999996,62.725833333999994,0.0,0.0,0.0,0.0,29.645166666,0.0,0.0,331.18666666,0.0,113.0
29,20.035500002,92.268666665,7.238095238,171.0,2.1,0.5700000000000001,18.814999999999998,0.8781666666,0.0,514.8933333299999,0.26,355.0
32,26.53,95.15,0.0,209.1,0.0,0.0,25.669999999999998,0.0,0.0,518.6,0.0,167.5
39,27.647666668,84.99708333199999,9.975,124.1,0.4,0.5704893384,26.977166666,1.6626666665999998,0.0,0.0,0.2676637507,40.2
50,29.898099600000002,74.930532809,0.0,0.0,0.0,0.0,27.401238948999996,1.4749004188000003,0.0,323.64445595999996,0.0,980.5
57,18.847,95.668,2.877741427,0.0,0.6,0.6259130435,0.0,0.0,0.0,516.836,0.5583739129999999,1021.7
320,26.487166666,90.005833332,7.991666667,131.6,1.2,0.55,23.958166665999997,0.8210000000000001,0.0,443.12666666999996,0.2465,120.0
325,18.529999999999998,84.55000000000001,9.947368421,20.1,1.9,0.584,13.86,0.1,0.0,426.4,0.266,538.0
326,26.575583332999997,55.765666667000005,0.0,0.0,0.0,0.0,22.483666667,0.7453333335,0.0,386.72333332,0.0,34.0
327,20.026777775999996,97.856666666,0.0,0.0,0.0,0.0,16.186666667000004,0.5779568121,0.0,435.09833334999996,0.0,79.45999578681268
332,21.54,99.775,0.0,0.0,0.0,0.0,18.380000000000003,0.0,0.0,527.29,0.0,1324.8
339,23.374999999999996,65.475,10.0,162.6,0.499,0.55,21.239999999999995,1.01,0.0,0.0,0.3151112103,779.3
344,20.529999999999998,80.789333334,11.8625,153.8,0.8,0.6,18.238499999000002,0.0,0.0,323.35833334999995,0.2479310345,3165.16612048
345,23.166,98.29030683800002,9.467918623,66.9,0.8,0.5671875,21.313928211000004,0.0,0.0,404.25711963000003,0.284375,2751.2
