,WS,EL,CI,TE,WD,HI,TL,IR,HL,TI,RP,index,growLength,flowerTop,stemDiameter,leavesLength,leavesWidth,leavesNum,flowerPosition,fruitsPosition,fruitsNum,measDate,userId,fruitsNum_predict,leavesLength_predict
0,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,41,229.0,8.2,7.65,34.9,19.5,21.0,12.7,1.7,5.0,2017-03-19 00:00:00,PF_0000227,65.56523103152544,31.7207022970452
1,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,42,239.0,15.1,9.91,36.3,33.5,21.0,14.3,1.3,4.0,2017-03-19 00:00:00,PF_0000227,45.86914556706444,42.664756020186424
2,1.1984523809523813,9.841488095238086,632.2786904761907,6.9101785714285695,42.46113095238094,88.06113095238098,18.46,127.01845238095235,95.62148809523815,17.460178571428568,0.13374999999999998,2,35.7,21.5,10.18,39.2,28.6,17.0,11.7,1.7,5.0,2017-03-26 00:00:00,PF_0000227,33.89487418137418,39.30095001113529
3,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,11,32.4,13.1,6.7,36.2,29.8,13.0,6.2,2.0,6.0,2017-03-26 00:00:00,PF_0000227,21.37497347182585,35.158757590842306
4,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,37,31.1,23.2,11.61,37.3,25.1,12.0,12.7,1.7,5.0,2017-03-26 00:00:00,PF_0000227,36.73409661601549,33.716390227452
5,1.1984523809523813,9.841488095238086,632.2786904761907,6.9101785714285695,42.46113095238094,88.06113095238098,18.46,127.01845238095235,95.62148809523815,17.460178571428568,0.13374999999999998,43,34.3,16.2,8.41,34.6,21.4,11.0,8.7,1.3,4.0,2017-03-26 00:00:00,PF_0000227,34.45475310800312,34.49806361763837
6,1.4095808383233537,9.839580838323341,625.9057485029941,8.269041916167662,42.085988023952105,87.4235329341317,17.159401197604794,138.89107784431138,96.25419161676649,16.56952095808384,0.07892215568862274,3,26.4,1.9,5.25,39.2,28.4,15.0,27.7,21.3,64.0,2017-04-02 00:00:00,PF_0000227,55.73328851411747,39.30050579010874
7,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,20,26.3,3.6,6.92,35.6,28.3,16.0,31.0,22.0,66.0,2017-04-02 00:00:00,PF_0000227,71.3824054380185,36.417900822652264
8,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,21,22.1,6.3,6.32,38.4,28.9,16.0,41.0,30.0,90.0,2017-04-02 00:00:00,PF_0000227,69.98396597397377,41.55582299935492
9,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,25,21.1,3.6,6.53,40.6,31.1,17.0,30.7,23.7,71.0,2017-04-02 00:00:00,PF_0000227,74.735547214955,38.524664294054055
10,1.460925373134329,9.831432835820928,630.7914925373142,10.146477611940306,41.310089552238786,86.84140298507465,17.52540298507463,151.38038805970146,95.54047761194056,17.20949253731343,0.09188059701492536,12,22.7,32.0,9.28,36.0,25.0,15.0,0.8,5.0,74.0,2017-04-09 00:00:00,PF_0000227,59.086031440781454,37.279594092062844
11,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,13,20.0,18.0,8.64,35.6,23.0,20.0,1.7,4.8,92.0,2017-04-09 00:00:00,PF_0000227,61.81810013289064,31.582548038287605
12,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509183,51.18038845821006,80.08086441489175,24.59534822667175,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,14,21.0,12.0,7.97,37.0,22.0,19.0,1.4,6.0,94.0,2017-04-09 00:00:00,PF_0000227,59.65934464779422,31.115932829311596
13,1.460925373134329,9.831432835820928,630.7914925373142,10.146477611940306,41.310089552238786,86.84140298507465,17.52540298507463,151.38038805970146,95.54047761194056,17.20949253731343,0.09188059701492536,44,25.3,6.7,7.5,32.6,16.0,16.0,1.5,6.8,69.0,2017-04-09 00:00:00,PF_0000227,63.592941265256485,29.58266393780429
14,2.0482142857142853,9.804464285714255,604.8649404761907,13.477916666666667,39.084285714285706,83.47279761904763,18.251726190476187,202.7723214285714,95.2194642857143,18.16357142857143,0.06976190476190476,15,26.0,13.0,7.16,32.0,22.0,22.0,9.0,7.0,85.0,2017-04-16 00:00:00,PF_0000227,79.0251597014097,31.90029032196305
15,1.7800892857142845,9.813898809523828,620.2565476190473,12.745327380952375,39.81154761904757,84.86776785714294,18.070476190476178,183.28383928571427,95.02523809523834,18.004613095238096,0.08726190476190472,22,24.0,14.0,7.5,27.0,20.0,21.0,7.8,5.8,103.0,2017-04-16 00:00:00,PF_0000227,82.14110966810968,30.33639248208562
