,WS,EL,CI,TE,WD,HI,TL,IR,HL,TI,RP,index,growLength,flowerTop,stemDiameter,leavesLength,leavesWidth,leavesNum,flowerPosition,fruitsPosition,fruitsNum,measDate,userId
0,1.1984523809523813,9.841488095238086,632.2786904761908,6.9101785714285695,42.46113095238094,88.06113095238099,18.459999999999997,127.01845238095235,95.62148809523815,17.460178571428568,0.13374999999999998,2,35.7,21.5,10.18,39.2,28.6,17.0,11.7,1.7,5.0,2017-03-26 00:00:00,PF_0000227
1,1.4095808383233537,9.83958083832334,625.9057485029941,8.269041916167662,42.08598802395211,87.42353293413171,17.159401197604794,138.89107784431138,96.25419161676648,16.569520958083835,0.07892215568862274,3,26.4,1.9,5.25,39.2,28.4,15.0,27.7,21.3,64.0,2017-04-02 00:00:00,PF_0000227
2,1.726706349206348,9.809920634920703,615.7765476190478,13.11496031746031,39.64853174603175,88.14248015873024,17.982619047619053,183.27732142857147,94.93083333333347,17.895654761904762,0.07450396825396825,4,14.0,10.5,6.66,42.0,28.0,20.0,2.8,8.0,93.0,2017-04-23 00:00:00,PF_0000227
3,1.7035119047619058,9.803035714285745,606.1923809523813,15.772023809523805,38.51636904761902,93.21538690476198,19.006398809523823,231.92294642857138,95.20413690476217,18.671636904761932,0.04467261904761906,5,8.0,9.0,8.8,41.0,24.0,18.0,2.4,8.0,87.0,2017-05-07 00:00:00,PF_0000227
4,1.4822023809523817,9.79011904761902,596.6097023809527,16.59940476190476,39.730535714285715,95.70119047619046,18.536666666666665,158.55886904761908,95.00125000000001,18.583630952380947,0.12880952380952382,6,0.1,11.0,2.98,29.0,22.0,18.0,0.6,7.0,103.0,2017-05-14 00:00:00,PF_0000227
5,1.6617261904761906,9.80678571428569,580.2580952380953,17.110952380952384,38.578630952380955,90.80148809523808,19.388928571428572,285.84922619047614,95.50952380952383,19.135357142857142,0.0,7,0.0,13.0,5.66,32.0,24.0,22.0,0.4,8.0,87.0,2017-05-21 00:00:00,PF_0000227
6,1.492678571428571,9.800535714285687,569.9576190476191,18.59648809523809,37.80291666666666,91.29035714285712,19.95136904761904,265.16279761904764,95.16744047619048,19.91428571428572,0.00125,8,20.0,3.0,7.05,37.0,24.0,21.0,0.0,5.0,49.0,2017-05-28 00:00:00,PF_0000227
7,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509185,51.18038845821006,80.08086441489175,24.595348226671742,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,9,1.0,1.0,6.77,40.0,30.0,18.0,0.0,5.0,59.0,2017-05-28 00:00:00,PF_0000227
8,1.6023809523809522,9.80202380952378,568.3836904761906,20.340000000000007,36.60821428571431,90.27119047619043,21.073273809523823,267.77994047619046,95.28583333333334,21.12755952380953,0.002678571428571429,10,7.0,6.0,3.66,35.0,25.0,23.0,0.0,5.0,49.0,2017-06-04 00:00:00,PF_0000227
9,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509185,51.18038845821006,80.08086441489175,24.595348226671742,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,11,32.4,13.1,6.7,36.2,29.8,13.0,6.2,2.0,6.0,2017-03-26 00:00:00,PF_0000227
10,1.460925373134329,9.831432835820927,630.7914925373141,10.146477611940304,41.310089552238786,86.84140298507465,17.52540298507463,151.38038805970146,95.54047761194055,17.20949253731343,0.09188059701492536,12,22.7,32.0,9.28,36.0,25.0,15.0,0.8,5.0,74.0,2017-04-09 00:00:00,PF_0000227
11,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509185,51.18038845821006,80.08086441489175,24.595348226671742,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,13,20.0,18.0,8.64,35.6,23.0,20.0,1.7,4.8,92.0,2017-04-09 00:00:00,PF_0000227
12,1.5711273259084098,2.0904182513977,439.6864050191001,10.117420821509185,51.18038845821006,80.08086441489175,24.595348226671742,281.8133673184606,35.83540296456104,18.36132396586097,7.610407685765206,14,21.0,12.0,7.97,37.0,22.0,19.0,1.4,6.0,94.0,2017-04-09 00:00:00,PF_0000227
13,2.0482142857142853,9.804464285714257,604.8649404761908,13.477916666666667,39.084285714285706,83.47279761904763,18.251726190476187,202.7723214285714,95.2194642857143,18.16357142857143,0.06976190476190476,15,26.0,13.0,7.16,32.0,22.0,22.0,9.0,7.0,85.0,2017-04-16 00:00:00,PF_0000227
14,1.698363095238096,9.804880952380971,608.9999999999998,13.999404761904774,39.21392857142856,93.89336309523812,17.94895833333333,210.0441369047618,94.89729166666689,17.722410714285722,0.03916666666666667,16,1.0,2.5,4.42,39.0,24.0,21.0,2.0,8.0,83.0,2017-04-30 00:00:00,PF_0000227
15,1.556220238095237,9.79419642857145,598.9055059523814,16.999434523809516,38.82895833333332,94.51857142857148,19.22922619047618,192.79038690476187,95.17848214285739,19.079910714285706,0.0944047619047619,17,2.0,1.0,5.15,41.0,31.0,16.0,0.4,8.0,101.0,2017-05-14 00:00:00,PF_0000227
16,1.6617261904761906,9.80678571428569,580.2580952380953,17.110952380952384,38.578630952380955,90.80148809523808,19.388928571428572,285.84922619047614,95.50952380952383,19.135357142857142,0.0,18,0.0,1.0,5.87,30.0,21.0,21.0,0.2,7.0,68.0,2017-05-21 00:00:00,PF_0000227
17,1.5475297619047605,9.801279761904794,569.1706547619049,19.468244047619056,37.20556547619047,90.78077380952382,20.512321428571425,266.4713690476191,95.22663690476209,20.520922619047607,0.0019642857142857144,19,15.0,26.0,3.51,39.0,31.0,21.0,0.0,4.0,42.0,2017-06-04 00:00:00,PF_0000227
