weeks,fruitsNum,fruitsNumPredict,onlyEnv
"(2020, 1)",6.0,20.329142155003787,0
"(2020, 1)",6.0,11.918246384108015,0
"(2020, 1)",6.0,14.341665548277176,0
"(2020, 1)",6.0,14.341665548277176,0
"(2020, 1)",6.0,16.897024906754954,0
"(2020, 1)",6.0,16.897024906754954,0
"(2020, 1)",6.0,16.862282843262893,0
"(2020, 1)",6.0,16.862282843262893,0
"(2020, 1)",6.0,16.862282843262893,0
"(2020, 1)",6.0,16.862282843262893,0
"(2020, 1)",6.0,16.862282843262893,0
"(2020, 1)",6.0,16.862282843262893,0
"(2020, 1)",6.0,16.862282843262893,0
"(2020, 1)",6.0,15.533125840951476,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,0,0
"(2020, 1)",6.0,22.108295877325286,0
"(2020, 1)",6.0,22.108295877325286,0
"(2020, 1)",6.0,22.108295877325286,0
"(2020, 1)",6.0,22.108295877325286,0
"(2020, 1)",6.0,22.108295877325286,0
"(2020, 1)",6.0,22.108295877325286,0
"(2020, 1)",6.0,21.89312921065862,0
"(2020, 1)",6.0,21.89312921065862,0
"(2020, 1)",6.0,21.89312921065862,0
"(2020, 1)",6.0,21.89312921065862,0
"(2020, 1)",6.0,21.89312921065862,0
"(2020, 1)",6.0,21.89312921065862,0
"(2020, 1)",6.0,22.098918893198302,0
"(2020, 1)",6.0,22.098918893198302,0
"(2020, 1)",6.0,22.098918893198302,0
"(2020, 1)",6.0,22.098918893198302,0
"(2020, 1)",6.0,22.098918893198302,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,22.138145083674495,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,21.925270083674494,0
"(2020, 1)",6.0,22.13527008367449,0
"(2020, 1)",6.0,22.13527008367449,0
"(2020, 1)",6.0,22.13527008367449,0
"(2020, 1)",6.0,22.13527008367449,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.2477819884364,0
"(2020, 1)",6.0,22.460656988436405,0
"(2020, 1)",6.0,22.460656988436405,0
"(2020, 1)",6.0,22.460656988436405,0
"(2020, 1)",6.0,22.460656988436405,0
"(2020, 1)",6.0,22.460656988436405,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.473240321769737,0
"(2020, 1)",6.0,22.955740321769735,0
"(2020, 1)",6.0,22.955740321769735,0
"(2020, 1)",6.0,22.955740321769735,0
"(2020, 1)",6.0,22.955740321769735,0
"(2020, 1)",6.0,22.955740321769735,0
"(2020, 1)",6.0,22.955740321769735,0
"(2020, 1)",6.0,23.00584746462688,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.856723344505802,0
"(2020, 1)",6.0,22.7219733445058,0
"(2020, 1)",6.0,22.7219733445058,0
"(2020, 1)",6.0,22.7219733445058,0
"(2020, 1)",6.0,22.7219733445058,0
