,fatrCode,facilityId,measDate,weeks,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num
33904,TL,PF_0010019_01,2020-02-09 11:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,20,33901
33905,WD,PF_0010019_01,2020-02-09 11:00:00,"(2020, 6)",FG,EO,80300,6.6,20200209,20,33900
33906,WS,PF_0010019_01,2020-02-09 11:00:00,"(2020, 6)",FG,EO,80300,2.24,20200209,20,33899
33907,TE,PF_0010019_01,2020-02-09 11:00:00,"(2020, 6)",FG,EO,80300,11.72,20200209,20,33898
33908,TI,PF_0010019_01,2020-02-09 11:00:00,"(2020, 6)",FG,EI,80300,24.0,20200209,20,33897
33909,SO,PF_0010019_01,2020-02-09 11:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,20,33896
33910,SI,PF_0010019_01,2020-02-09 11:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,20,33895
33911,CI,PF_0010019_01,2020-02-09 11:00:00,"(2020, 6)",FG,EI,80300,507.75,20200209,20,33903
33912,EL,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EL,80300,2.91,20200209,20,33924
33913,HL,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33925
33914,HI,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EI,80300,78.92,20200209,20,33926
33915,RP,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,20,33930
33916,PL,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EL,80300,5.66,20200209,20,33928
33917,PI,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,20,33929
33918,EO,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33923
33919,PO,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33927
33920,HE,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EO,80300,40.8,20200209,20,33922
33921,WD,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EO,80300,6.55,20200209,20,33918
33922,EI,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,20,33920
33923,TL,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,20,33919
33924,WS,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EO,80300,2.51,20200209,20,33917
33925,TE,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EO,80300,13.32,20200209,20,33916
33926,TI,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EI,80300,25.3,20200209,20,33915
33927,SO,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,20,33914
33928,SI,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,20,33913
33929,CI,PF_0010019_01,2020-02-09 12:00:00,"(2020, 6)",FG,EI,80300,420.3,20200209,20,33921
33930,EL,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EL,80300,2.91,20200209,19,33942
33931,RP,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,19,33948
33932,HL,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33943
33933,EO,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33941
33934,PO,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33945
33935,PL,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EL,80300,5.6,20200209,19,33946
33936,PI,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,19,33947
33937,HI,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EI,80300,78.07,20200209,19,33944
33938,HE,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EO,80300,41.74,20200209,19,33940
33939,TL,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,19,33937
33940,EI,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,19,33938
33941,WD,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EO,80300,6.79,20200209,19,33936
33942,WS,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EO,80300,3.35,20200209,19,33935
33943,TE,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EO,80300,12.13,20200209,19,33934
33944,TI,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EI,80300,25.98,20200209,19,33933
33945,SO,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,19,33932
33946,SI,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,19,33931
33947,CI,PF_0010019_01,2020-02-09 13:00:00,"(2020, 6)",FG,EI,80300,393.63,20200209,19,33939
33948,PI,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,20,33966
33949,PL,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EL,80300,5.7,20200209,20,33965
33950,PO,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33964
33951,HI,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EI,80300,77.72,20200209,20,33963
33952,HL,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33962
33953,EL,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EL,80300,2.93,20200209,20,33961
33954,EO,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33960
33955,HE,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EO,80300,43.55,20200209,20,33959
