,examinDe,fcltyId,itemCode,croppingSerlNo,examinMasterSn,examinSn,sampleNo,examinIemCode,examinIemNm,examinIemValue,examinIemUnit
0,20170101,PF_0000040_01,080300,300,3028,157977,1,10000002,생장길이,23.0,cm
1,20170101,PF_0000040_01,080300,300,3028,157978,1,10000008,화방높이,29.0,cm
2,20170101,PF_0000040_01,080300,300,3028,157979,1,10000007,줄기직경,9.0,mm
3,20170101,PF_0000040_01,080300,300,3028,157980,1,10000004,엽장,40.0,cm
4,20170101,PF_0000040_01,080300,300,3028,157981,1,10000005,엽폭,40.0,cm
5,20170101,PF_0000040_01,080300,300,3028,157982,1,10000003,엽수,13.0,개
6,20170101,PF_0000040_01,080300,300,3028,157983,1,10000014,개화군,7.0,점
7,20170101,PF_0000040_01,080300,300,3028,157984,1,10000015,착과군,4.7,점
8,20170101,PF_0000040_01,080300,300,3028,157985,1,10000012,열매수,14.0,개
9,20170101,PF_0000040_01,080300,300,3028,157986,1,10000016,수확군,0.0,점
10,20170101,PF_0000040_01,080300,300,3028,157987,1,10000019,PED,0.0,
11,20170101,PF_0000040_01,080300,300,3028,157988,1,10000020,수광량,0.0,
12,20170101,PF_0000040_01,080300,300,3028,157989,1,10000017,평균 과중,0.0,g
13,20170101,PF_0000040_01,080300,300,3028,157990,2,10000002,생장길이,30.0,cm
14,20170101,PF_0000040_01,080300,300,3028,157991,2,10000008,화방높이,59.0,cm
15,20170101,PF_0000040_01,080300,300,3028,157992,2,10000007,줄기직경,10.0,mm
16,20170101,PF_0000040_01,080300,300,3028,157993,2,10000004,엽장,41.0,cm
17,20170101,PF_0000040_01,080300,300,3028,157994,2,10000005,엽폭,50.0,cm
18,20170101,PF_0000040_01,080300,300,3028,157995,2,10000003,엽수,15.0,개
19,20170101,PF_0000040_01,080300,300,3028,157996,2,10000014,개화군,6.0,점
20,20170101,PF_0000040_01,080300,300,3028,157997,2,10000015,착과군,5.3,점
21,20170101,PF_0000040_01,080300,300,3028,157998,2,10000012,열매수,16.0,개
22,20170101,PF_0000040_01,080300,300,3028,157999,2,10000016,수확군,0.0,점
23,20170101,PF_0000040_01,080300,300,3028,158000,2,10000019,PED,0.0,
24,20170101,PF_0000040_01,080300,300,3028,158001,2,10000020,수광량,0.0,
25,20170101,PF_0000040_01,080300,300,3028,158002,2,10000017,평균 과중,0.0,g
26,20170101,PF_0000040_01,080300,300,3028,158003,3,10000002,생장길이,27.0,cm
27,20170101,PF_0000040_01,080300,300,3028,158004,3,10000008,화방높이,26.0,cm
28,20170101,PF_0000040_01,080300,300,3028,158005,3,10000007,줄기직경,7.0,mm
29,20170101,PF_0000040_01,080300,300,3028,158006,3,10000004,엽장,29.0,cm
30,20170101,PF_0000040_01,080300,300,3028,158007,3,10000005,엽폭,24.0,cm
31,20170101,PF_0000040_01,080300,300,3028,158008,3,10000003,엽수,15.0,개
32,20170101,PF_0000040_01,080300,300,3028,158009,3,10000014,개화군,5.0,점
33,20170101,PF_0000040_01,080300,300,3028,158010,3,10000015,착과군,3.0,점
34,20170101,PF_0000040_01,080300,300,3028,158011,3,10000012,열매수,9.0,개
35,20170101,PF_0000040_01,080300,300,3028,158012,3,10000016,수확군,0.0,점
36,20170101,PF_0000040_01,080300,300,3028,158013,3,10000019,PED,0.0,
37,20170101,PF_0000040_01,080300,300,3028,158014,3,10000020,수광량,0.0,
38,20170101,PF_0000040_01,080300,300,3028,158015,3,10000017,평균 과중,0.0,g
39,20170101,PF_0000040_01,080300,300,3028,158016,4,10000002,생장길이,32.0,cm
40,20170101,PF_0000040_01,080300,300,3028,158017,4,10000008,화방높이,19.0,cm
41,20170101,PF_0000040_01,080300,300,3028,158018,4,10000007,줄기직경,8.0,mm
42,20170101,PF_0000040_01,080300,300,3028,158019,4,10000004,엽장,38.0,cm
43,20170101,PF_0000040_01,080300,300,3028,158020,4,10000005,엽폭,45.0,cm
44,20170101,PF_0000040_01,080300,300,3028,158021,4,10000003,엽수,14.0,개
45,20170101,PF_0000040_01,080300,300,3028,158022,4,10000014,개화군,7.0,점
46,20170101,PF_0000040_01,080300,300,3028,158023,4,10000015,착과군,5.3,점
47,20170101,PF_0000040_01,080300,300,3028,158024,4,10000012,열매수,16.0,개
48,20170101,PF_0000040_01,080300,300,3028,158025,4,10000016,수확군,0.0,점
