,examinDe,fcltyId,itemCode,croppingSerlNo,examinMasterSn,examinSn,sampleNo,examinIemCode,examinIemNm,examinIemValue,examinIemUnit
0,20191209,PF_0006043_01,080300,2322,21026,413905,1,10000002,생장길이,0.0,cm
1,20191209,PF_0006043_01,080300,2322,21026,413906,1,10000008,화방높이,27.0,cm
2,20191209,PF_0006043_01,080300,2322,21026,413907,1,10000007,줄기직경,10.9,mm
3,20191209,PF_0006043_01,080300,2322,21026,413908,1,10000004,엽장,35.0,cm
4,20191209,PF_0006043_01,080300,2322,21026,413909,1,10000005,엽폭,34.5,cm
5,20191209,PF_0006043_01,080300,2322,21026,413910,1,10000003,엽수,8.0,개
6,20191209,PF_0006043_01,080300,2322,21026,413911,1,10000014,개화군,2.23,점
7,20191209,PF_0006043_01,080300,2322,21026,413912,1,10000015,착과군,2.53,점
8,20191209,PF_0006043_01,080300,2322,21026,413913,1,10000012,열매수,9.0,개
9,20191209,PF_0006043_01,080300,2322,21026,413914,1,10000041,최종화방차수,3.0,차
10,20191209,PF_0006043_01,080300,2322,21026,413915,2,10000002,생장길이,0.0,cm
11,20191209,PF_0006043_01,080300,2322,21026,413916,2,10000008,화방높이,20.5,cm
12,20191209,PF_0006043_01,080300,2322,21026,413917,2,10000007,줄기직경,18.9,mm
13,20191209,PF_0006043_01,080300,2322,21026,413918,2,10000004,엽장,36.0,cm
14,20191209,PF_0006043_01,080300,2322,21026,413919,2,10000005,엽폭,38.0,cm
15,20191209,PF_0006043_01,080300,2322,21026,413920,2,10000003,엽수,8.0,개
16,20191209,PF_0006043_01,080300,2322,21026,413921,2,10000014,개화군,2.26,점
17,20191209,PF_0006043_01,080300,2322,21026,413922,2,10000015,착과군,2.42,점
18,20191209,PF_0006043_01,080300,2322,21026,413923,2,10000012,열매수,8.0,개
19,20191209,PF_0006043_01,080300,2322,21026,413924,2,10000041,최종화방차수,3.0,차
20,20191209,PF_0006043_01,080300,2322,21026,413925,3,10000002,생장길이,0.0,cm
21,20191209,PF_0006043_01,080300,2322,21026,413926,3,10000008,화방높이,20.0,cm
22,20191209,PF_0006043_01,080300,2322,21026,413927,3,10000007,줄기직경,16.7,mm
23,20191209,PF_0006043_01,080300,2322,21026,413928,3,10000004,엽장,35.0,cm
24,20191209,PF_0006043_01,080300,2322,21026,413929,3,10000005,엽폭,34.0,cm
25,20191209,PF_0006043_01,080300,2322,21026,413930,3,10000003,엽수,7.0,개
26,20191209,PF_0006043_01,080300,2322,21026,413931,3,10000014,개화군,2.22,점
27,20191209,PF_0006043_01,080300,2322,21026,413932,3,10000015,착과군,2.33,점
28,20191209,PF_0006043_01,080300,2322,21026,413933,3,10000012,열매수,6.0,개
29,20191209,PF_0006043_01,080300,2322,21026,413934,3,10000041,최종화방차수,3.0,차
30,20191209,PF_0006043_01,080300,2322,21026,413935,4,10000002,생장길이,0.0,cm
31,20191209,PF_0006043_01,080300,2322,21026,413936,4,10000008,화방높이,9.5,cm
32,20191209,PF_0006043_01,080300,2322,21026,413937,4,10000007,줄기직경,7.2,mm
33,20191209,PF_0006043_01,080300,2322,21026,413938,4,10000004,엽장,37.0,cm
34,20191209,PF_0006043_01,080300,2322,21026,413939,4,10000005,엽폭,33.0,cm
35,20191209,PF_0006043_01,080300,2322,21026,413940,4,10000003,엽수,10.0,개
36,20191209,PF_0006043_01,080300,2322,21026,413941,4,10000014,개화군,3.32,점
37,20191209,PF_0006043_01,080300,2322,21026,413942,4,10000015,착과군,3.09,점
38,20191209,PF_0006043_01,080300,2322,21026,413943,4,10000012,열매수,2.0,개
39,20191209,PF_0006043_01,080300,2322,21026,413944,4,10000041,최종화방차수,4.0,차
40,20191216,PF_0006043_01,080300,2322,22487,468224,1,10000002,생장길이,9.0,cm
41,20191216,PF_0006043_01,080300,2322,22487,468225,1,10000008,화방높이,13.5,cm
42,20191216,PF_0006043_01,080300,2322,22487,468226,1,10000007,줄기직경,9.6,mm
43,20191216,PF_0006043_01,080300,2322,22487,468227,1,10000004,엽장,34.0,cm
44,20191216,PF_0006043_01,080300,2322,22487,468228,1,10000005,엽폭,27.0,cm
45,20191216,PF_0006043_01,080300,2322,22487,468229,1,10000003,엽수,11.0,개
46,20191216,PF_0006043_01,080300,2322,22487,468230,1,10000014,개화군,3.13,점
47,20191216,PF_0006043_01,080300,2322,22487,468231,1,10000015,착과군,3.5,점
48,20191216,PF_0006043_01,080300,2322,22487,468232,1,10000012,열매수,12.0,개
49,20191216,PF_0006043_01,080300,2322,22487,468233,1,10000041,최종화방차수,4.0,차
50,20191216,PF_0006043_01,080300,2322,22487,468245,2,10000002,생장길이,9.5,cm
51,20191216,PF_0006043_01,080300,2322,22487,468246,2,10000008,화방높이,8.5,cm
52,20191216,PF_0006043_01,080300,2322,22487,468247,2,10000007,줄기직경,9.7,mm
53,20191216,PF_0006043_01,080300,2322,22487,468248,2,10000004,엽장,33.5,cm
54,20191216,PF_0006043_01,080300,2322,22487,468249,2,10000005,엽폭,30.5,cm
55,20191216,PF_0006043_01,080300,2322,22487,468250,2,10000003,엽수,12.0,개
56,20191216,PF_0006043_01,080300,2322,22487,468251,2,10000014,개화군,3.32,점
57,20191216,PF_0006043_01,080300,2322,22487,468252,2,10000015,착과군,3.36,점
58,20191216,PF_0006043_01,080300,2322,22487,468253,2,10000012,열매수,12.0,개
59,20191216,PF_0006043_01,080300,2322,22487,468254,2,10000041,최종화방차수,4.0,차
60,20191216,PF_0006043_01,080300,2322,22487,468255,3,10000002,생장길이,11.0,cm
61,20191216,PF_0006043_01,080300,2322,22487,468256,3,10000008,화방높이,31.0,cm
62,20191216,PF_0006043_01,080300,2322,22487,468257,3,10000007,줄기직경,12.8,mm
63,20191216,PF_0006043_01,080300,2322,22487,468258,3,10000004,엽장,35.5,cm
64,20191216,PF_0006043_01,080300,2322,22487,468259,3,10000005,엽폭,38.0,cm
65,20191216,PF_0006043_01,080300,2322,22487,468260,3,10000003,엽수,8.0,개
66,20191216,PF_0006043_01,080300,2322,22487,468261,3,10000014,개화군,3.26,점
67,20191216,PF_0006043_01,080300,2322,22487,468262,3,10000015,착과군,3.43,점
68,20191216,PF_0006043_01,080300,2322,22487,468263,3,10000012,열매수,10.0,개
69,20191216,PF_0006043_01,080300,2322,22487,468264,3,10000041,최종화방차수,4.0,차
70,20191216,PF_0006043_01,080300,2322,22487,468265,4,10000002,생장길이,9.7,cm
71,20191216,PF_0006043_01,080300,2322,22487,468266,4,10000008,화방높이,22.5,cm
72,20191216,PF_0006043_01,080300,2322,22487,468267,4,10000007,줄기직경,10.5,mm
73,20191216,PF_0006043_01,080300,2322,22487,468268,4,10000004,엽장,39.5,cm
74,20191216,PF_0006043_01,080300,2322,22487,468269,4,10000005,엽폭,36.0,cm
75,20191216,PF_0006043_01,080300,2322,22487,468270,4,10000003,엽수,10.0,개
76,20191216,PF_0006043_01,080300,2322,22487,468271,4,10000014,개화군,4.31,점
77,20191216,PF_0006043_01,080300,2322,22487,468272,4,10000015,착과군,4.31,점
78,20191216,PF_0006043_01,080300,2322,22487,468273,4,10000012,열매수,9.0,개
79,20191216,PF_0006043_01,080300,2322,22487,468274,4,10000041,최종화방차수,5.0,차
80,20191223,PF_0006043_01,080300,2322,22565,471166,1,10000002,생장길이,14.5,cm
81,20191223,PF_0006043_01,080300,2322,22565,471167,1,10000008,화방높이,26.1,cm
82,20191223,PF_0006043_01,080300,2322,22565,471168,1,10000007,줄기직경,9.2,mm
83,20191223,PF_0006043_01,080300,2322,22565,471169,1,10000004,엽장,34.2,cm
84,20191223,PF_0006043_01,080300,2322,22565,471170,1,10000005,엽폭,28.0,cm
85,20191223,PF_0006043_01,080300,2322,22565,471171,1,10000003,엽수,11.0,개
86,20191223,PF_0006043_01,080300,2322,22565,471172,1,10000014,개화군,4.19,점
87,20191223,PF_0006043_01,080300,2322,22565,471173,1,10000015,착과군,4.48,점
88,20191223,PF_0006043_01,080300,2322,22565,471174,1,10000012,열매수,15.0,개
89,20191223,PF_0006043_01,080300,2322,22565,471175,1,10000041,최종화방차수,5.0,차
90,20191223,PF_0006043_01,080300,2322,22565,471176,2,10000002,생장길이,13.0,cm
91,20191223,PF_0006043_01,080300,2322,22565,471177,2,10000008,화방높이,21.8,cm
92,20191223,PF_0006043_01,080300,2322,22565,471178,2,10000007,줄기직경,11.2,mm
93,20191223,PF_0006043_01,080300,2322,22565,471179,2,10000004,엽장,34.5,cm
94,20191223,PF_0006043_01,080300,2322,22565,471180,2,10000005,엽폭,32.0,cm
95,20191223,PF_0006043_01,080300,2322,22565,471181,2,10000003,엽수,12.0,개
96,20191223,PF_0006043_01,080300,2322,22565,471182,2,10000014,개화군,4.21,점
97,20191223,PF_0006043_01,080300,2322,22565,471183,2,10000015,착과군,4.41,점
98,20191223,PF_0006043_01,080300,2322,22565,471184,2,10000012,열매수,14.0,개
99,20191223,PF_0006043_01,080300,2322,22565,471185,2,10000041,최종화방차수,5.0,차
100,20191223,PF_0006043_01,080300,2322,22565,471186,3,10000002,생장길이,13.5,cm
101,20191223,PF_0006043_01,080300,2322,22565,471187,3,10000008,화방높이,5.5,cm
102,20191223,PF_0006043_01,080300,2322,22565,471188,3,10000007,줄기직경,5.2,mm
103,20191223,PF_0006043_01,080300,2322,22565,471189,3,10000004,엽장,33.2,cm
104,20191223,PF_0006043_01,080300,2322,22565,471190,3,10000005,엽폭,27.5,cm
105,20191223,PF_0006043_01,080300,2322,22565,471191,3,10000003,엽수,12.0,개
106,20191223,PF_0006043_01,080300,2322,22565,471192,3,10000014,개화군,3.22,점
107,20191223,PF_0006043_01,080300,2322,22565,471193,3,10000015,착과군,3.57,점
108,20191223,PF_0006043_01,080300,2322,22565,471194,3,10000012,열매수,13.0,개
109,20191223,PF_0006043_01,080300,2322,22565,471195,3,10000041,최종화방차수,4.0,차
110,20191223,PF_0006043_01,080300,2322,22565,471196,4,10000002,생장길이,14.4,cm
111,20191223,PF_0006043_01,080300,2322,22565,471197,4,10000008,화방높이,5.8,cm
112,20191223,PF_0006043_01,080300,2322,22565,471198,4,10000007,줄기직경,7.2,mm
113,20191223,PF_0006043_01,080300,2322,22565,471199,4,10000004,엽장,36.2,cm
114,20191223,PF_0006043_01,080300,2322,22565,471200,4,10000005,엽폭,24.0,cm
115,20191223,PF_0006043_01,080300,2322,22565,471201,4,10000003,엽수,13.0,개
116,20191223,PF_0006043_01,080300,2322,22565,471202,4,10000014,개화군,5.24,점
117,20191223,PF_0006043_01,080300,2322,22565,471203,4,10000015,착과군,5.44,점
118,20191223,PF_0006043_01,080300,2322,22565,471204,4,10000012,열매수,15.0,개
119,20191223,PF_0006043_01,080300,2322,22565,471205,4,10000041,최종화방차수,6.0,차
120,20191230,PF_0006043_01,080300,2322,22880,475695,1,10000002,생장길이,3.2,cm
121,20191230,PF_0006043_01,080300,2322,22880,475696,1,10000008,화방높이,11.5,cm
122,20191230,PF_0006043_01,080300,2322,22880,475697,1,10000007,줄기직경,7.4,mm
123,20191230,PF_0006043_01,080300,2322,22880,475698,1,10000004,엽장,35.4,cm
124,20191230,PF_0006043_01,080300,2322,22880,475699,1,10000005,엽폭,30.1,cm
125,20191230,PF_0006043_01,080300,2322,22880,475700,1,10000003,엽수,12.0,개
126,20191230,PF_0006043_01,080300,2322,22880,475701,1,10000014,개화군,4.26,점
127,20191230,PF_0006043_01,080300,2322,22880,475702,1,10000015,착과군,4.48,점
