,examinDe,fcltyId,itemCode,croppingSerlNo,examinMasterSn,examinSn,sampleNo,examinIemCode,examinIemNm,examinIemValue,examinIemUnit
0,20191024,PF_0010022_01,080300,2112,20519,401827,1,10000002,생장길이,0.0,cm
1,20191024,PF_0010022_01,080300,2112,20519,401828,1,10000008,화방높이,35.0,cm
2,20191024,PF_0010022_01,080300,2112,20519,401829,1,10000007,줄기직경,9.88,mm
3,20191024,PF_0010022_01,080300,2112,20519,401830,1,10000004,엽장,38.0,cm
4,20191024,PF_0010022_01,080300,2112,20519,401831,1,10000005,엽폭,40.0,cm
5,20191024,PF_0010022_01,080300,2112,20519,401832,1,10000003,엽수,11.0,개
6,20191024,PF_0010022_01,080300,2112,20519,401833,1,10000014,개화군,1.2,점
7,20191024,PF_0010022_01,080300,2112,20519,401834,1,10000015,착과군,0.0,점
8,20191024,PF_0010022_01,080300,2112,20519,401835,1,10000012,열매수,15.0,개
9,20191024,PF_0010022_01,080300,2112,20519,401836,1,10000041,최종화방차수,2.0,차
10,20191024,PF_0010022_01,080300,2112,20519,401837,2,10000002,생장길이,0.0,cm
11,20191024,PF_0010022_01,080300,2112,20519,401838,2,10000008,화방높이,30.5,cm
12,20191024,PF_0010022_01,080300,2112,20519,401839,2,10000007,줄기직경,11.29,mm
13,20191024,PF_0010022_01,080300,2112,20519,401840,2,10000004,엽장,50.0,cm
14,20191024,PF_0010022_01,080300,2112,20519,401841,2,10000005,엽폭,45.0,cm
15,20191024,PF_0010022_01,080300,2112,20519,401842,2,10000003,엽수,12.0,개
16,20191024,PF_0010022_01,080300,2112,20519,401843,2,10000014,개화군,1.2,점
17,20191024,PF_0010022_01,080300,2112,20519,401844,2,10000015,착과군,0.0,점
18,20191024,PF_0010022_01,080300,2112,20519,401845,2,10000012,열매수,15.0,개
19,20191024,PF_0010022_01,080300,2112,20519,401846,2,10000041,최종화방차수,2.0,차
20,20191024,PF_0010022_01,080300,2112,20519,401847,3,10000002,생장길이,0.0,cm
21,20191024,PF_0010022_01,080300,2112,20519,401848,3,10000008,화방높이,28.0,cm
22,20191024,PF_0010022_01,080300,2112,20519,401849,3,10000007,줄기직경,12.71,mm
23,20191024,PF_0010022_01,080300,2112,20519,401850,3,10000004,엽장,44.5,cm
24,20191024,PF_0010022_01,080300,2112,20519,401851,3,10000005,엽폭,41.0,cm
25,20191024,PF_0010022_01,080300,2112,20519,401852,3,10000003,엽수,12.0,개
26,20191024,PF_0010022_01,080300,2112,20519,401853,3,10000014,개화군,1.2,점
27,20191024,PF_0010022_01,080300,2112,20519,401854,3,10000015,착과군,0.0,점
28,20191024,PF_0010022_01,080300,2112,20519,401855,3,10000012,열매수,13.0,개
29,20191024,PF_0010022_01,080300,2112,20519,401856,3,10000041,최종화방차수,2.0,차
30,20191024,PF_0010022_01,080300,2112,20519,401857,4,10000002,생장길이,0.0,cm
31,20191024,PF_0010022_01,080300,2112,20519,401858,4,10000008,화방높이,33.0,cm
32,20191024,PF_0010022_01,080300,2112,20519,401859,4,10000007,줄기직경,10.92,mm
33,20191024,PF_0010022_01,080300,2112,20519,401860,4,10000004,엽장,41.0,cm
34,20191024,PF_0010022_01,080300,2112,20519,401861,4,10000005,엽폭,45.0,cm
35,20191024,PF_0010022_01,080300,2112,20519,401862,4,10000003,엽수,11.0,개
36,20191024,PF_0010022_01,080300,2112,20519,401863,4,10000014,개화군,1.22,점
37,20191024,PF_0010022_01,080300,2112,20519,401864,4,10000015,착과군,0.0,점
38,20191024,PF_0010022_01,080300,2112,20519,401865,4,10000012,열매수,14.0,개
39,20191024,PF_0010022_01,080300,2112,20519,401866,4,10000041,최종화방차수,2.0,차
40,20191028,PF_0010022_01,080300,2112,20520,401867,1,10000002,생장길이,30.0,cm
41,20191028,PF_0010022_01,080300,2112,20520,401868,1,10000008,화방높이,16.0,cm
42,20191028,PF_0010022_01,080300,2112,20520,401869,1,10000007,줄기직경,8.32,mm
43,20191028,PF_0010022_01,080300,2112,20520,401870,1,10000004,엽장,41.0,cm
44,20191028,PF_0010022_01,080300,2112,20520,401871,1,10000005,엽폭,37.0,cm
45,20191028,PF_0010022_01,080300,2112,20520,401872,1,10000003,엽수,14.0,개
46,20191028,PF_0010022_01,080300,2112,20520,401873,1,10000014,개화군,1.6,점
47,20191028,PF_0010022_01,080300,2112,20520,401874,1,10000015,착과군,1.6,점
48,20191028,PF_0010022_01,080300,2112,20520,401875,1,10000012,열매수,18.0,개
49,20191028,PF_0010022_01,080300,2112,20520,401876,1,10000041,최종화방차수,2.0,차
50,20191028,PF_0010022_01,080300,2112,20520,401877,2,10000002,생장길이,0.0,cm
51,20191028,PF_0010022_01,080300,2112,20520,401878,2,10000008,화방높이,16.0,cm
52,20191028,PF_0010022_01,080300,2112,20520,401879,2,10000007,줄기직경,9.15,mm
53,20191028,PF_0010022_01,080300,2112,20520,401880,2,10000004,엽장,46.0,cm
54,20191028,PF_0010022_01,080300,2112,20520,401881,2,10000005,엽폭,43.0,cm
55,20191028,PF_0010022_01,080300,2112,20520,401882,2,10000003,엽수,15.0,개
56,20191028,PF_0010022_01,080300,2112,20520,401883,2,10000014,개화군,1.4,점
57,20191028,PF_0010022_01,080300,2112,20520,401884,2,10000015,착과군,1.0,점
58,20191028,PF_0010022_01,080300,2112,20520,401885,2,10000012,열매수,18.0,개
59,20191028,PF_0010022_01,080300,2112,20520,401886,2,10000041,최종화방차수,2.0,차
60,20191028,PF_0010022_01,080300,2112,20520,401887,3,10000002,생장길이,2.0,cm
61,20191028,PF_0010022_01,080300,2112,20520,401888,3,10000008,화방높이,15.0,cm
62,20191028,PF_0010022_01,080300,2112,20520,401889,3,10000007,줄기직경,9.67,mm
63,20191028,PF_0010022_01,080300,2112,20520,401890,3,10000004,엽장,45.0,cm
64,20191028,PF_0010022_01,080300,2112,20520,401891,3,10000005,엽폭,38.0,cm
65,20191028,PF_0010022_01,080300,2112,20520,401892,3,10000003,엽수,16.0,개
66,20191028,PF_0010022_01,080300,2112,20520,401893,3,10000014,개화군,1.2,점
67,20191028,PF_0010022_01,080300,2112,20520,401894,3,10000015,착과군,1.0,점
68,20191028,PF_0010022_01,080300,2112,20520,401895,3,10000012,열매수,16.0,개
69,20191028,PF_0010022_01,080300,2112,20520,401896,3,10000041,최종화방차수,1.0,차
70,20191028,PF_0010022_01,080300,2112,20520,401897,4,10000002,생장길이,9.0,cm
71,20191028,PF_0010022_01,080300,2112,20520,401898,4,10000008,화방높이,14.0,cm
72,20191028,PF_0010022_01,080300,2112,20520,401899,4,10000007,줄기직경,8.36,mm
73,20191028,PF_0010022_01,080300,2112,20520,401900,4,10000004,엽장,40.0,cm
74,20191028,PF_0010022_01,080300,2112,20520,401901,4,10000005,엽폭,43.0,cm
75,20191028,PF_0010022_01,080300,2112,20520,401902,4,10000003,엽수,14.0,개
76,20191028,PF_0010022_01,080300,2112,20520,401903,4,10000014,개화군,3.8,점
77,20191028,PF_0010022_01,080300,2112,20520,401904,4,10000015,착과군,2.57,점
78,20191028,PF_0010022_01,080300,2112,20520,401905,4,10000012,열매수,18.0,개
79,20191028,PF_0010022_01,080300,2112,20520,401906,4,10000041,최종화방차수,3.0,차
