,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,CI,PF_0000014_01,2016-04-01 00:00:00,FG,EI,080300,591.05,20160401,19,1,288.0,1,1
1,EO,PF_0000014_01,2016-04-01 00:00:00,FG,NT,080300,,20160401,23,2,,,
2,HI,PF_0000014_01,2016-04-01 00:00:00,FG,EI,080300,86.71,20160401,23,3,,,
3,HL,PF_0000014_01,2016-04-01 00:00:00,FG,NT,080300,,20160401,19,4,,,
4,PO,PF_0000014_01,2016-04-01 00:00:00,FG,NT,080300,,20160401,19,5,,,
5,RP,PF_0000014_01,2016-04-01 00:00:00,FG,EO,080300,,20160401,19,6,,,
6,SR,PF_0000014_01,2016-04-01 00:00:00,FG,EO,080300,,20160401,19,7,,,
7,TE,PF_0000014_01,2016-04-01 00:00:00,FG,EO,080300,7.29,20160401,19,8,,,
8,TI,PF_0000014_01,2016-04-01 00:00:00,FG,EI,080300,14.41,20160401,19,9,,,
9,TL,PF_0000014_01,2016-04-01 00:00:00,FG,NT,080300,13.85,20160401,19,10,,,
10,WD,PF_0000014_01,2016-04-01 00:00:00,FG,EO,080300,248,20160401,19,11,,,
11,WS,PF_0000014_01,2016-04-01 00:00:00,FG,EO,080300,1,20160401,19,12,,,
12,TI,PF_0000014_01,2016-04-01 01:00:00,FG,EI,080300,14.38,20160401,18,13,,,
13,TL,PF_0000014_01,2016-04-01 01:00:00,FG,NT,080300,13.9,20160401,23,14,,,
14,WD,PF_0000014_01,2016-04-01 01:00:00,FG,EO,080300,248,20160401,23,15,,,
15,WS,PF_0000014_01,2016-04-01 01:00:00,FG,EO,080300,1,20160401,23,16,,,
16,CI,PF_0000014_01,2016-04-01 01:00:00,FG,EI,080300,619.61,20160401,18,17,,,
17,TE,PF_0000014_01,2016-04-01 01:00:00,FG,EO,080300,6.08,20160401,23,18,,,
18,HI,PF_0000014_01,2016-04-01 01:00:00,FG,EI,080300,87.11,20160401,20,19,,,
19,HL,PF_0000014_01,2016-04-01 01:00:00,FG,NT,080300,,20160401,23,20,,,
