,fatrCode,facilityId,measDate,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num,totalRows,totalPage,currentPage
0,WD,PF_0000012_01,2016-04-01 00:00:00,FG,EO,080300,24.86,20160401,14,1,312.0,1,1
1,WS,PF_0000012_01,2016-04-01 00:00:00,FG,EO,080300,1.22,20160401,14,2,,,
2,PO,PF_0000012_01,2016-04-01 00:00:00,FG,NT,080300,,20160401,14,3,,,
3,HL,PF_0000012_01,2016-04-01 00:00:00,FG,NT,080300,,20160401,15,4,,,
4,TE,PF_0000012_01,2016-04-01 00:00:00,FG,EO,080300,5.48,20160401,14,5,,,
5,SR,PF_0000012_01,2016-04-01 00:00:00,FG,EO,080300,,20160401,14,6,,,
6,TL,PF_0000012_01,2016-04-01 00:00:00,FG,NT,080300,11.35,20160401,14,7,,,
7,HE,PF_0000012_01,2016-04-01 00:00:00,FG,EO,080300,77.73,20160401,15,8,,,
8,TI,PF_0000012_01,2016-04-01 00:00:00,FG,EI,080300,15.53,20160401,14,9,,,
9,RP,PF_0000012_01,2016-04-01 00:00:00,FG,EO,080300,,20160401,15,10,,,
10,EO,PF_0000012_01,2016-04-01 00:00:00,FG,NT,080300,,20160401,14,11,,,
11,CI,PF_0000012_01,2016-04-01 00:00:00,FG,EI,080300,701.2,20160401,15,12,,,
12,HI,PF_0000012_01,2016-04-01 00:00:00,FG,EI,080300,81.65,20160401,14,13,,,
13,TL,PF_0000012_01,2016-04-01 01:00:00,FG,NT,080300,10.81,20160401,14,14,,,
14,TI,PF_0000012_01,2016-04-01 01:00:00,FG,EI,080300,15.45,20160401,18,15,,,
15,TE,PF_0000012_01,2016-04-01 01:00:00,FG,EO,080300,4.19,20160401,14,16,,,
16,SR,PF_0000012_01,2016-04-01 01:00:00,FG,EO,080300,,20160401,18,17,,,
17,RP,PF_0000012_01,2016-04-01 01:00:00,FG,EO,080300,,20160401,14,18,,,
18,PO,PF_0000012_01,2016-04-01 01:00:00,FG,NT,080300,,20160401,14,19,,,
19,HL,PF_0000012_01,2016-04-01 01:00:00,FG,NT,080300,,20160401,14,20,,,
20,HI,PF_0000012_01,2016-04-01 01:00:00,FG,EI,080300,81.54,20160401,18,21,,,
21,HE,PF_0000012_01,2016-04-01 01:00:00,FG,EO,080300,80.86,20160401,14,22,,,
22,EO,PF_0000012_01,2016-04-01 01:00:00,FG,NT,080300,,20160401,14,23,,,
23,CI,PF_0000012_01,2016-04-01 01:00:00,FG,EI,080300,732.36,20160401,14,24,,,
24,WS,PF_0000012_01,2016-04-01 01:00:00,FG,EO,080300,1.11,20160401,14,25,,,
25,WD,PF_0000012_01,2016-04-01 01:00:00,FG,EO,080300,25.86,20160401,14,26,,,
26,CI,PF_0000012_01,2016-04-01 02:00:00,FG,EI,080300,767.3,20160401,10,27,,,
27,HI,PF_0000012_01,2016-04-01 02:00:00,FG,EI,080300,81.74,20160401,21,28,,,
28,HL,PF_0000012_01,2016-04-01 02:00:00,FG,NT,080300,,20160401,10,29,,,
29,WD,PF_0000012_01,2016-04-01 02:00:00,FG,EO,080300,26.95,20160401,20,30,,,
30,TL,PF_0000012_01,2016-04-01 02:00:00,FG,NT,080300,10.48,20160401,20,31,,,
